Date,Open,High,Low,Close,Adj Close,Volume
2016-09-29,9.21,10.9,9.02,9.18,9.18,2412300
2016-09-30,9.35,9.72,9.15,9.22,9.22,410000
2016-10-03,9.3,10.44,9.3,10.39,10.39,211300
2016-10-04,10.26,10.68,9.71,9.95,9.95,133500
2016-10-05,9.95,10.08,9.5,9.57,9.57,72700
2016-10-06,9.62,9.88,9.62,9.64,9.64,65900
2016-10-07,9.98,9.98,9.62,9.755,9.755,27400
2016-10-10,9.71,9.82,9.71,9.8,9.8,14800
2016-10-11,9.715,9.73,9.62,9.69,9.69,100100
2016-10-12,9.72,9.72,9.62,9.62,9.62,16300
2016-10-13,9.62,9.68,9.4,9.4,9.4,37100
2016-10-14,9.4,9.44,8.55,8.61,8.61,70600
2016-10-17,8.84,8.84,7.591,8.14,8.14,65000
2016-10-18,8.078,8.448,8.0,8.17,8.17,39400
2016-10-19,8.45,8.56,8.012,8.55,8.55,72200
2016-10-20,8.49,8.55,8.35,8.55,8.55,21600
2016-10-21,8.55,8.91,8.5,8.88,8.88,19600
2016-10-24,8.85,9.207,8.63,9.11,9.11,70200
2016-10-25,9.236,9.4,9.05,9.3,9.3,24100
2016-10-26,9.4,9.4,8.737,9.02,9.02,45700
2016-10-27,9.29,9.29,8.654,8.99,8.99,71900
2016-10-28,8.98,9.25,8.8,9.09,9.09,66300
2016-10-31,9.386,9.386,9.0,9.0,9.0,17300
2016-11-01,9.3,9.3,8.85,9.03,9.03,72600
2016-11-02,8.79,9.16,8.666,9.02,9.02,57900
2016-11-03,8.999,8.999,8.673,8.93,8.93,10000
2016-11-04,8.692,8.82,8.6,8.74,8.74,10100
2016-11-07,8.72,8.8,8.6,8.7,8.7,37300
2016-11-08,8.7,8.937,8.01,8.65,8.65,61800
2016-11-09,8.65,8.65,8.061,8.6,8.6,31500
2016-11-10,8.65,9.16,8.625,8.85,8.85,20600
2016-11-11,8.823,9.1,8.508,8.65,8.65,61600
2016-11-14,8.65,9.07,8.65,8.66,8.66,19400
2016-11-15,8.77,9.0,8.5,8.51,8.51,10600
2016-11-16,8.5,8.829,8.15,8.68,8.68,29600
2016-11-17,8.9,8.9,8.5,8.5,8.5,26300
2016-11-18,8.696,8.696,8.4,8.5,8.5,15400
2016-11-21,8.607,8.89,8.108,8.89,8.89,64500
2016-11-22,8.9,9.5,8.68,9.48,9.48,70500
2016-11-23,9.169,9.33,9.169,9.25,9.25,14100
2016-11-25,8.9,9.436,8.9,9.26,9.26,8000
2016-11-28,9.15,9.33,9.1,9.32,9.32,12200
2016-11-29,9.25,10.76,9.215,9.94,9.94,132800
2016-11-30,9.78,10.1,9.65,9.97,9.97,30000
2016-12-01,9.45,10.0,8.903,10.0,10.0,67800
2016-12-02,10.0,10.05,9.5,9.88,9.88,23000
2016-12-05,9.862,10.49,9.589,10.17,10.17,58900
2016-12-06,10.22,10.26,9.068,9.4,9.4,43000
2016-12-07,9.32,9.99,9.32,9.91,9.91,31800
2016-12-08,9.79,9.97,9.485,9.95,9.95,20000
2016-12-09,9.75,10.06,9.554,10.0,10.0,36200
2016-12-12,10.0,10.0,9.5,9.5,9.5,18800
2016-12-13,9.54,9.77,8.87,8.87,8.87,39800
2016-12-14,9.2,9.45,8.7,9.36,9.36,32900
2016-12-15,9.394,10.08,9.21,9.9,9.9,61600
2016-12-16,9.67,10.5,9.67,9.94,9.94,507300
2016-12-19,9.772,10.65,9.64,10.48,10.48,65300
2016-12-20,10.4,10.844,10.0,10.82,10.82,68700
2016-12-21,10.55,11.39,10.5,11.23,11.23,72800
2016-12-22,11.37,12.15,11.084,11.79,11.79,73800
2016-12-23,11.6,11.87,9.82,10.35,10.35,100900
2016-12-27,10.01,10.309,9.43,10.08,10.08,56600
2016-12-28,10.01,10.19,9.6,9.86,9.86,17300
2016-12-29,10.6,10.6,9.83,10.19,10.19,24100
2016-12-30,10.24,11.76,10.0,11.57,11.57,41500
2017-01-03,11.55,11.806,10.601,11.15,11.15,59500
2017-01-04,11.09,11.6,10.888,11.53,11.53,55600
2017-01-05,11.45,11.57,11.03,11.5,11.5,44900
2017-01-06,11.52,13.16,11.2,13.04,13.04,112700
2017-01-09,13.0,13.9,11.504,13.5,13.5,74100
2017-01-10,13.56,13.56,12.59,12.93,12.93,61800
2017-01-11,12.39,13.5,12.39,13.37,13.37,44700
2017-01-12,13.38,13.5,12.69,13.14,13.14,46100
2017-01-13,13.25,13.9,12.955,13.67,13.67,86300
2017-01-17,13.15,13.6,12.63,13.23,13.23,83100
2017-01-18,13.23,13.444,13.01,13.3,13.3,82500
2017-01-19,13.01,13.48,13.01,13.27,13.27,23100
2017-01-20,13.05,13.5,13.05,13.23,13.23,31200
2017-01-23,13.18,13.408,13.18,13.35,13.35,6300
2017-01-24,13.19,13.38,12.961,13.23,13.23,50600
2017-01-25,13.27,13.43,11.618,12.91,12.91,49900
2017-01-26,12.81,13.308,12.536,13.0,13.0,36700
2017-01-27,13.0,13.0,12.792,13.0,13.0,37300
2017-01-30,12.92,13.012,12.54,12.71,12.71,47900
2017-01-31,12.011,13.34,12.011,13.07,13.07,67600
2017-02-01,13.05,13.345,12.7,12.9,12.9,58400
2017-02-02,12.89,12.89,12.0,12.19,12.19,20300
2017-02-03,12.0,12.17,10.6,11.99,11.99,93900
2017-02-06,11.85,12.145,11.56,12.13,12.13,52900
2017-02-07,12.0,12.12,11.365,11.99,11.99,25400
2017-02-08,11.96,11.96,11.715,11.87,11.87,5500
2017-02-09,11.88,11.92,11.55,11.86,11.86,30500
